celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_score,week1_score_std,week2_avg_score,week2_score_std,week3_avg_score,week3_score_std,week4_avg_score,week4_score_std,week5_avg_score,week5_score_std,week6_avg_score,week6_score_std,week7_avg_score,week7_score_std,week8_avg_score,week8_score_std,week9_avg_score,week9_score_std,week10_avg_score,week10_score_std,week11_avg_score,week11_score_std,weeks_survived,season_avg_score,season_score_std,season_max_score,season_min_score,early_avg_score,late_avg_score,score_improvement,is_Actor_Actress,is_Athlete,is_TV_Personality,is_Singer_Rapper,is_Model,is_Comedian,is_Social_Media_Personality,is_Radio_Personality,age_group,is_international,week1_participated,week2_participated,week3_participated,week4_participated,week5_participated,week6_participated,week7_participated,week8_participated,week9_participated,week10_participated,week11_participated,total_weeks_participated,consecutive_weeks
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,8.666666666666666,0.5773502691896257,7.0,1.0,7.333333333333333,1.1547005383792517,9.666666666666666,0.5773502691896257,9.0,0.0,9.333333333333334,0.5773502691896257,9.333333333333334,0.2886751345948129,9.5,0.5,9.833333333333334,0.2886751345948129,9.888866666666667,0.1924885797478208,,,11.0,8.955553333333334,1.014907159921172,9.888866666666667,7.0,7.666666666666667,9.8611,2.1944333333333335,1,0,0,0,0,0,0,0,25-35,0,1,1,1,1,1,1,1,1,1,1,0,10,10
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,8.0,0.0,8.0,0.0,6.333333333333333,0.5773502691896258,8.0,0.0,9.0,0.0,8.333333333333334,0.5773502691896257,9.5,0.5,9.0,0.5,9.833333333333334,0.2886751345948129,9.888866666666667,0.1924885797478208,,,11.0,8.588886666666667,1.0852517487081395,9.888866666666667,6.333333333333333,7.444444444444444,9.8611,2.4166555555555567,0,1,0,0,0,0,0,0,35-50,0,1,1,1,1,1,1,1,1,1,1,0,10,10
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,7.333333333333333,0.5773502691896258,,,,,,,,,,,,,,,,,,,2.0,6.666666666666666,0.9428090415820631,7.333333333333333,6.0,6.666666666666666,,,0,0,0,0,1,0,0,0,25-35,0,1,1,0,0,0,0,0,0,0,0,0,2,2
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.333333333333333,0.5773502691896258,7.666666666666667,0.5773502691896258,7.333333333333333,0.5773502691896258,9.333333333333334,0.5773502691896257,9.0,0.0,,,,,,,,,,,,,5.0,8.133333333333335,0.9603240193925292,9.333333333333334,7.333333333333333,7.444444444444444,,,0,0,0,1,0,0,0,0,<25,0,1,1,1,1,1,0,0,0,0,0,0,5,5
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,7.0,0.0,8.333333333333334,0.5773502691896257,6.666666666666667,0.5773502691896258,8.0,0.0,,,,,,,,,,,,,,7.0,1.3123346456686353,8.333333333333334,5.0,6.777777777777779,,,0,0,0,1,0,0,0,0,25-35,0,1,1,1,1,1,0,0,0,0,0,0,5,5
Jerry Springer,Kym Johnson,TV Personality,International,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,,,,,,,,,,,,,,,,,5.333333333333333,0.5773502691896258,6.333333333333333,0.5773502691896258,7.0,0.0,7.333333333333333,0.5773502691896258,8.0,0.0,6.0,1.0,7.666666666666667,0.28867513459481287,,,,,,,,,7.0,6.80952380952381,0.9594972228385661,8.0,5.333333333333333,6.222222222222221,,,0,0,1,0,0,0,0,0,>50,1,1,1,1,1,1,1,1,0,0,0,0,7,7
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,4.0,4.0,4.0,,,0,0,1,0,0,0,0,0,35-50,0,1,0,0,0,0,0,0,0,0,0,0,1,1
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,,,,,,,,,,,,,,,,,5.666666666666667,0.5773502691896258,7.0,0.0,6.666666666666667,0.5773502691896258,5.333333333333333,0.5773502691896258,6.0,0.0,6.333333333333333,0.5773502691896258,7.5,0.0,,,,,,,,,7.0,6.357142857142857,0.7602909495991176,7.5,5.333333333333333,6.4444444444444455,,,1,0,0,0,0,0,0,0,>50,0,1,1,1,1,1,1,1,0,0,0,0,7,7
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,,,,,,,,,7.0,0.0,7.333333333333333,0.5773502691896258,8.0,0.0,8.0,1.0,8.0,0.0,8.0,0.0,9.0,0.0,7.833333333333333,0.28867513459481287,9.666666666666666,0.2886751345948129,,,,,9.0,8.092592592592592,0.8041174903405626,9.666666666666666,7.0,7.444444444444444,9.666666666666666,2.2222222222222223,1,0,0,0,0,0,0,0,35-50,0,1,1,1,1,1,1,1,1,1,0,0,9,9
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333333333,0.5773502691896258,6.0,0.0,5.333333333333333,0.5773502691896258,5.0,1.0,4.333333333333333,0.5773502691896258,,,,,,,,,,,,,5.0,5.199999999999999,0.6055300708194984,6.0,4.333333333333333,5.5555555555555545,,,0,1,0,0,0,0,0,0,35-50,0,1,1,1,1,1,0,0,0,0,0,0,5,5
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,7.666666666666667,0.5773502691896258,9.0,0.0,7.0,0.0,7.0,0.0,9.333333333333334,0.5773502691896257,9.333333333333334,0.5773502691896257,9.833333333333334,0.2886751345948129,8.833333333333334,0.2886751345948129,10.0,0.0,9.444400000000002,0.384861689441805,,,11.0,8.74444,1.118858766095675,10.0,7.0,7.888888888888889,9.7222,1.8333111111111116,0,1,0,0,0,0,0,0,25-35,0,1,1,1,1,1,1,1,1,1,1,0,10,10
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,7.0,0.0,8.666666666666666,0.5773502691896257,7.666666666666667,0.5773502691896258,8.666666666666666,0.5773502691896257,10.0,0.0,9.333333333333334,0.5773502691896257,9.0,0.5,9.666666666666666,0.5773502691896257,9.833333333333334,0.2886751345948129,9.777733333333334,0.1924885797478208,,,11.0,8.961106666666666,0.9910567998073796,10.0,7.0,7.777777777777778,9.805533333333333,2.0277555555555553,0,1,0,0,0,0,0,0,<25,0,1,1,1,1,1,1,1,1,1,1,0,10,10
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333333333,0.5773502691896258,6.666666666666667,0.5773502691896258,7.0,0.0,,,,,,,,,,,,,,,,,3.0,6.666666666666667,0.3333333333333335,7.0,6.333333333333333,6.666666666666667,,,0,0,0,0,0,0,0,0,25-35,0,1,1,1,0,0,0,0,0,0,0,0,3,3
Paulina Porizkova,Alec Mazo,Model,International,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333333333,0.5773502691896258,7.0,0.0,,,,,,,,,,,,,,,,,,,2.0,6.666666666666666,0.4714045207910319,7.0,6.333333333333333,6.666666666666666,,,0,0,0,0,1,0,0,0,35-50,1,1,1,0,0,0,0,0,0,0,0,0,2,2
Heather Mills,Jonathan Roberts,Model,International,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,8.0,0.0,8.0,0.0,7.666666666666667,0.5773502691896258,7.0,0.0,7.666666666666667,0.5773502691896258,,,,,,,,,,,6.0,7.388888888888889,0.7722022379508469,8.0,6.0,7.333333333333333,,,0,0,0,0,1,0,0,0,35-50,1,1,1,1,1,1,1,0,0,0,0,0,6,6
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,,,,,,,,,,,,,4.333333333333333,0.5773502691896258,7.0,0.0,7.0,0.0,7.0,0.0,5.666666666666667,0.5773502691896258,7.0,0.0,6.333333333333333,0.28867513459481287,6.333333333333333,0.28867513459481287,,,,,,,8.0,6.333333333333334,0.9428090415820635,7.0,4.333333333333333,6.111111111111111,,,0,0,0,1,0,0,0,0,35-50,0,1,1,1,1,1,1,1,1,0,0,0,8,8
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,8.0,0.0,8.0,0.0,8.0,0.0,9.333333333333334,0.5773502691896257,8.333333333333334,0.5773502691896257,9.0,0.0,9.833333333333334,0.2886751345948129,9.166666666666666,0.2886751345948129,10.0,0.0,9.5555,0.192430844720903,,,11.0,8.922216666666667,0.7835712800542949,10.0,8.0,8.0,9.777750000000001,1.777750000000001,0,0,0,1,0,0,0,0,25-35,0,1,1,1,1,1,1,1,1,1,1,0,10,10
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,7.0,0.0,8.0,0.0,5.333333333333333,0.5773502691896258,,,,,,,,,,,,,,,4.0,6.333333333333333,1.4142135623730951,8.0,5.0,6.666666666666667,,,0,0,1,0,0,0,0,0,35-50,0,1,1,1,1,0,0,0,0,0,0,0,4,4
