celebrity_name,season,ballroom_partner,celebrity_industry,celebrity_age,is_international,weeks_survived,season_avg_score,season_score_std,season_max_score,season_min_score,final_result,placement,fan_vote_estimate,fan_vote_std,fan_vote_ci_low,fan_vote_ci_high,fan_certainty,is_finalist,avg_fan_vote,fan_vote_records,is_Actor_Actress,is_Athlete,is_TV_Personality,is_Singer_Rapper,is_Model,is_Comedian,is_Social_Media_Personality,is_Radio_Personality
Jerry Springer,3,Kym Johnson,TV Personality,62,1,7.0,6.80952380952381,0.959497222838566,8.0,5.333333333333333,Eliminated Week 7,5,0.049218590287526544,0.03801759715412957,0.004151833374330528,0.12369786395375539,0.9633748047640424,False,0.049218590287526544,1,0,0,1,0,0,0,0,0
Sara Evans,3,Tony Dovolani,Singer/Rapper,35,0,,7.0,1.3123346456686351,8.333333333333334,5.0,Withdrew,6,,,,,,False,,0,0,0,0,1,0,0,0,0
Willa Ford,3,Maksim Chmerkoskiy,Singer/Rapper,25,0,5.0,8.133333333333335,0.9603240193925292,9.333333333333334,7.333333333333333,Eliminated Week 5,7,0.019265684379296617,0.017096862358045924,0.0010599159183302248,0.054268111155298907,0.9831905268900266,False,0.019265684379296617,1,0,0,0,1,0,0,0,0
Vivica A. Fox,3,Nick Kosovich,Actor/Actress,42,0,4.0,8.083333333333332,0.6871842709362769,9.0,7.333333333333333,Eliminated Week 4,8,0.018253615735134003,0.014937841310227216,0.0014141073215410032,0.047171819181693726,0.9852820136345066,False,0.018253615735134003,1,1,0,0,0,0,0,0,0
Harry Hamlin,3,Ashly DelGrosso,Actor/Actress,54,0,3.0,6.666666666666667,0.8819171036881965,7.333333333333333,5.666666666666667,Eliminated Week 3,9,0.014121505205493445,0.01194567879676106,0.000763975361435976,0.038170921174955595,0.9881953359285403,False,0.014121505205493445,1,1,0,0,0,0,0,0,0
Shanna Moakler,3,Jesse DeSoto,Model,31,0,2.0,6.666666666666666,0.9428090415820632,7.333333333333333,6.0,Eliminated Week 2,10,0.01275458577960171,0.010274949322302203,0.0010922219306335594,0.032982494463316796,0.9898295515204106,False,0.01275458577960171,1,0,0,0,0,1,0,0,0
Tucker Carlson,3,Elena Grinenko,TV Personality,37,0,1.0,4.0,,4.0,4.0,Eliminated Week 1,11,0.020856692133149314,0.014467188905885515,0.001937646518907737,0.048285236031481264,0.9857391258543426,False,0.020856692133149314,1,0,0,1,0,0,0,0,0
Apolo Anton Ohno,4,Julianne Hough,Athlete,24,0,11.0,8.961106666666666,0.9910567998073796,10.0,7.0,1st Place,1,0.6084793619514088,0.13801024732244047,0.4028585509835527,0.8581472751695973,0.8787267094939111,True,0.3248832190029328,2,0,1,0,0,0,0,0,0
Joey Fatone,4,Kym Johnson,Singer/Rapper,30,0,11.0,8.922216666666667,0.7835712800542949,10.0,8.0,2nd Place,2,0.2785535014667369,0.1020114425852009,0.09746721665366001,0.43666538445936254,0.9074315940441661,True,0.14316802683489024,2,0,0,0,1,0,0,0,0
Laila Ali,4,Maksim Chmerkoskiy,Athlete,29,0,11.0,8.74444,1.118858766095675,10.0,7.0,3rd Place,3,0.11296713658185563,0.07781006975930313,0.008628948651935888,0.25693678084531013,0.9278072529265943,True,0.11296713658185563,1,0,1,0,0,0,0,0,0
Ian Ziering,4,Cheryl Burke,Actor/Actress,42,0,9.0,8.092592592592592,0.8041174903405626,9.666666666666666,7.0,Eliminated Week 9,4,0.06479567586107587,0.04943217889182963,0.004439411782525132,0.1607790376131493,0.9528962615344723,False,0.06479567586107587,1,1,0,0,0,0,0,0,0
Billy Ray Cyrus,4,Karina Smirnoff,Singer/Rapper,45,0,8.0,6.333333333333334,0.9428090415820636,7.0,4.333333333333333,Eliminated Week 8,5,0.057416381324920066,0.0413119923534009,0.005291660479192056,0.13914877965562578,0.960326979179377,False,0.057416381324920066,1,0,0,0,1,0,0,0,0
John Ratzenberger,4,Edyta Sliwinska,Actor/Actress,59,0,7.0,6.357142857142857,0.7602909495991176,7.5,5.333333333333333,Eliminated Week 7,6,0.03729658262488793,0.027425914199062772,0.0030549691987331058,0.09067361880546015,0.9733061879985354,False,0.03729658262488793,1,1,0,0,0,0,0,0,0
Heather Mills,4,Jonathan Roberts,Model,39,1,6.0,7.388888888888889,0.7722022379508469,8.0,6.0,Eliminated Week 6,7,0.02407533574265355,0.019046010254266724,0.0017053308102970303,0.06268569351318155,0.9813099604310168,False,0.02407533574265355,1,0,0,0,0,1,0,0,0
Clyde Drexler,4,Elena Grinenko,Athlete,44,0,5.0,5.199999999999999,0.6055300708194984,6.0,4.333333333333333,Eliminated Week 5,8,0.03413695623452113,0.024883857736076747,0.0024070112665559007,0.08109596703945508,0.97572031450369,False,0.03413695623452113,1,0,1,0,0,0,0,0,0
Leeza Gibbons,4,Tony Dovolani,TV Personality,50,0,4.0,6.333333333333333,1.4142135623730951,8.0,5.0,Eliminated Week 4,9,0.022456816572111293,0.01710051027439141,0.0016286397171592047,0.05607545876145437,0.9831870005946827,False,0.022456816572111293,1,0,0,1,0,0,0,0,0
Shandi Finnessey,4,Brian Fortuna,Beauty Pagent,28,0,3.0,6.666666666666667,0.3333333333333335,7.0,6.333333333333333,Eliminated Week 3,10,0.012049449822518396,0.009805920454472783,0.0007902784363034937,0.03134790910349933,0.9902893018788606,False,0.012049449822518396,1,0,0,0,0,0,0,0,0
Paulina Porizkova,4,Alec Mazo,Model,41,1,2.0,6.666666666666666,0.4714045207910319,7.0,6.333333333333333,Eliminated Week 2,11,0.010084763351957833,0.008464703925846723,0.0007673714746268172,0.026868171677662315,0.9916063458712094,False,0.010084763351957833,1,0,0,0,0,1,0,0,0
Helio Castroneves,5,Julianne Hough,Racing Driver,32,1,11.0,8.88333,0.720294264361174,10.0,7.666666666666667,1st Place,1,0.6233484145619606,0.15393663094655058,0.39386843478240274,0.9008633567832611,0.8665987136396913,True,0.3158935090013187,2,0,0,0,0,0,0,0,0
Mel B,5,Maksim Chmerkoskiy,Singer/Rapper,32,1,11.0,9.077773333333331,0.7875030081541605,10.0,7.666666666666667,2nd Place,2,0.2482940685678229,0.11285104306994072,0.04699503391398129,0.4219424488887465,0.8985928586105946,True,0.2482940685678229,1,0,0,0,1,0,0,0,0
Marie Osmond,5,Jonathan Roberts,Singer/Rapper,47,0,11.0,8.083333333333332,0.7667874301023477,9.333333333333334,7.0,3rd Place,3,0.12835751687021685,0.08744155934342564,0.01087716457951423,0.29600734217542163,0.9195896472853023,True,0.12835751687021685,1,0,0,0,1,0,0,0,0
Jennie Garth,5,Derek Hough,Actor/Actress,35,0,9.0,8.425925925925926,0.901815726708218,9.666666666666666,7.0,Eliminated Week 9,4,0.06202851843604503,0.04922243516114691,0.004031651945899632,0.16014223797631597,0.9530867492805879,False,0.06202851843604503,1,1,0,0,0,0,0,0,0
Cameron Mathison,5,Edyta Sliwinska,Actor/Actress,38,1,8.0,8.083333333333334,0.7663560447348133,9.0,7.0,Eliminated Week 8,5,0.04205443758100604,0.03381724041353667,0.0027100325793955322,0.11196313184264142,0.9672889567985833,False,0.04205443758100604,1,1,0,0,0,0,0,0,0
Jane Seymour,5,Tony Dovolani,Actor/Actress,56,1,7.0,8.142857142857142,0.7417981870189156,9.0,7.0,Eliminated Week 7,6,0.0292287446924472,0.02402303055431269,0.0024097235784156534,0.07777232377426459,0.9765405368458276,False,0.0292287446924472,1,1,0,0,0,0,0,0,0
Sabrina Bryan,5,Mark Ballas,Actor/Actress,23,0,6.0,9.0,0.5962847939999439,10.0,8.333333333333334,Eliminated Week 6,7,0.015336798229200511,0.013303593436828959,0.0010105611241779074,0.042213106625680036,0.9868710685297118,False,0.018455091555515352,2,1,0,0,0,0,0,0,0
Mark Cuban,5,Kym Johnson,TV Personality,49,0,5.0,6.8,0.5055250296034366,7.333333333333333,6.0,Eliminated Week 5,8,0.02317330490461952,0.01722580479980133,0.0020697660873857907,0.05595789703423887,0.983065898723252,False,0.02317330490461952,1,0,0,1,0,0,0,0,0
Floyd Mayweather Jr. ,5,Karina Smirnoff,Athlete,30,0,4.0,6.916666666666667,0.6871842709362769,7.666666666666667,6.0,Eliminated Week 4,9,0.0167163609227678,0.013168859968189173,0.0011713143269650415,0.043641039005942316,0.9870023048590315,False,0.0167163609227678,1,0,1,0,0,0,0,0,0
Wayne Newton,5,Cheryl Burke,Singer/Rapper,65,0,3.0,5.777777777777778,0.6938886664887107,6.333333333333333,5.0,Eliminated Week 3,10,0.01849644453242335,0.013461446548310335,0.0015760459269187927,0.04419127452187929,0.9867173570399171,False,0.01849644453242335,1,0,0,0,1,0,0,0,0
Albert Reed,5,Anna Trebunskaya,Model,22,0,2.0,7.0,0.0,7.0,7.0,Eliminated Week 2,11,0.009854280876776597,0.008455106802631228,0.0005359478531394315,0.02658928958010271,0.9916157826505151,False,0.009854280876776597,1,0,0,0,0,1,0,0,0
Josie Maran,5,Alec Mazo,Model,29,0,1.0,5.333333333333333,,5.333333333333333,5.333333333333333,Eliminated Week 1,12,0.015453481906835282,0.010918916955594968,0.0015385393808621237,0.03642474022905254,0.9891990180691469,False,0.015453481906835282,1,0,0,0,0,1,0,0,0
Kristi Yamaguchi,6,Mark Ballas,Athlete,36,0,11.0,9.4,0.4172218523448575,10.0,9.0,1st Place,1,0.6128022390591409,0.15048744089993468,0.39639046845592674,0.8930432335848246,0.8691967982004043,True,0.6128022390591409,1,0,1,0,0,0,0,0,0
Jason Taylor,6,Edyta Sliwinska,Athlete,33,0,11.0,8.716666666666667,0.7897882197771534,9.666666666666666,7.333333333333333,2nd Place,2,0.26955573752395234,0.11322238749049478,0.07012632542207516,0.44346261494110834,0.8982931094785753,True,0.26955573752395234,1,0,1,0,0,0,0,0,0
Cristian de la Fuente,6,Cheryl Burke,Actor/Actress,34,1,11.0,8.25,0.9662515072736714,9.5,6.666666666666667,3rd Place,3,0.117642023416907,0.08291931136846177,0.00895547763497416,0.27240020335949056,0.9234298340624487,True,0.117642023416907,1,1,0,0,0,0,0,0,0
Marissa Jaret Winokur,6,Tony Dovolani,Actor/Actress,35,0,9.0,7.740740740740741,1.0378634273483,8.666666666666666,6.0,Eliminated Week 9,4,0.06829121956943318,0.05168957478799415,0.005858254366842398,0.1735433577750626,0.9508509202457255,False,0.06829121956943318,1,1,0,0,0,0,0,0,0
Mario,6,Karina Smirnoff,Singer/Rapper,21,0,8.0,8.416666666666668,0.7346308866924531,9.333333333333334,7.0,Eliminated Week 8,5,0.04071468149697253,0.03394716144524269,0.0029576087285307895,0.1099981473997703,0.9671674117294431,False,0.04071468149697253,1,0,0,0,1,0,0,0,0
Shannon Elizabeth,6,Derek Hough,Actor/Actress,34,0,7.0,8.071428571428571,0.7191632409931471,9.333333333333334,7.0,Eliminated Week 7,6,0.0285023996583125,0.023657189714354102,0.0017971871976141108,0.07536484746611766,0.9768895388494703,False,0.0285023996583125,1,1,0,0,0,0,0,0,0
Marlee Matlin,6,Fabian Sanchez,Actor/Actress,42,0,6.0,7.444444444444444,0.4554200340426488,8.0,7.0,Eliminated Week 6,7,0.02919820504327745,0.022071503086279688,0.0022491712823725597,0.0714357849536384,0.9784051281934465,False,0.02919820504327745,1,1,0,0,0,0,0,0,0
Priscilla Presley,6,Louis van Amstel,Actor/Actress,62,0,5.0,7.6,0.7226494462892931,8.666666666666666,7.0,Eliminated Week 5,8,0.021409232922642032,0.016483509723614818,0.0015395232908499707,0.05245079715142115,0.983783790326223,False,0.021409232922642032,1,1,0,0,0,0,0,0,0
Adam Carolla,6,Julianne Hough,Radio Personality,43,0,4.0,6.166666666666666,0.8388704928078611,7.0,5.0,Eliminated Week 4,9,0.021637592026140382,0.015984410471368185,0.001985246365898663,0.05144660444473067,0.9842670711217387,False,0.021637592026140382,1,0,0,0,0,0,0,0,1
Steve Guttenberg,6,Anna Trebunskaya,Actor/Actress,49,0,3.0,6.111111111111111,0.8388704928078612,7.0,5.333333333333333,Eliminated Week 3,10,0.012296722119759115,0.00990893950221175,0.000858538469245172,0.032254164534750725,0.9901882841961019,False,0.012296722119759115,1,1,0,0,0,0,0,0,0
Monica Seles,6,Jonathan Roberts,Athlete,34,1,2.0,5.0,0.0,5.0,5.0,Eliminated Week 2,11,0.015364247618040398,0.01146836920695733,0.0009454861049752702,0.037923905596412774,0.9886616630276347,False,0.015364247618040398,1,0,1,0,0,0,0,0,0
Penn Jillette,6,Kym Johnson,Magician,53,0,2.0,5.5,0.2357022603955162,5.666666666666667,5.333333333333333,Eliminated Week 2,12,0.012259770411562544,0.00993810800744719,0.0007451083336333164,0.03184401878605952,0.9901596860949682,False,0.012259770411562544,1,0,0,0,0,0,0,0,0
Brooke Burke,7,Derek Hough,TV Personality,37,0,11.0,8.983333333333333,0.7595076377837501,10.0,8.0,1st Place,1,0.592804026118459,0.14466459972648021,0.3855349196092627,0.859088175009853,0.8736183509466021,True,0.592804026118459,1,0,0,1,0,0,0,0,0
Warren Sapp,7,Kym Johnson,Athlete,35,0,11.0,8.083333333333334,0.7296625298090942,9.166666666666666,7.0,2nd Place,2,0.2912716542561059,0.10634507993765788,0.10018681295369979,0.4514093416146056,0.9038771158600439,True,0.2912716542561059,1,0,1,0,0,0,0,0,0
Lance Bass,7,Lacey Schwimmer,Singer/Rapper,29,0,11.0,8.116666666666667,1.0032355064896186,9.5,6.666666666666667,3rd Place,3,0.11592431962543646,0.0803065822819832,0.010725802695554013,0.2657525838670374,0.9256631556272222,True,0.11592431962543646,1,0,0,0,1,0,0,0,0
Cody Linley,7,Julianne Hough,Actor/Actress,18,0,9.0,7.611111111111111,0.7546154281781182,9.333333333333334,6.833333333333333,Eliminated Week 9,4,0.07104553590212319,0.05301033412032905,0.004357886493102611,0.17450325702197414,0.9496582964073063,False,0.07104553590212319,1,1,0,0,0,0,0,0,0
Maurice Greene,7,Cheryl Burke,Athlete,34,0,8.0,7.479166666666667,0.9817279065706968,9.0,6.333333333333333,Eliminated Week 8,5,0.043512961837523866,0.0345805607627039,0.002963475933183973,0.11090205014571611,0.9665752846378529,False,0.043512961837523866,1,0,1,0,0,0,0,0,0
Susan Lucci,7,Tony Dovolani,Actor/Actress,61,0,7.0,7.30952380952381,0.6556631603912025,8.0,6.166666666666667,Eliminated Week 7,6,0.029166583888824548,0.023968602968004384,0.0017248213519794262,0.07619613863321809,0.976592443461127,False,0.029166583888824548,1,1,0,0,0,0,0,0,0
Cloris Leachman,7,Corky Ballas,Actor/Actress,82,0,6.0,5.833333333333333,1.0488088481701516,7.333333333333333,5.0,Eliminated Week 6,7,0.03911535452103839,0.02709528984339631,0.003129377239512988,0.08845204538936143,0.9736194975175794,False,0.03911535452103839,1,1,0,0,0,0,0,0,0
Toni Braxton,7,Alec Mazo,Singer/Rapper,40,0,5.0,7.4333333333333345,0.1490711984999862,7.666666666666667,7.333333333333333,Eliminated Week 5,8,0.020119413258002983,0.016505322352698238,0.0015012000905801637,0.05250633183995249,0.9837626798505129,False,0.020119413258002983,1,0,0,0,1,0,0,0,0
Rocco DiSpirito,7,Karina Smirnoff,TV Personality,41,0,4.0,5.958333333333334,0.5506729889333061,6.666666666666667,5.333333333333333,Eliminated Week 4,9,0.01971426998596208,0.014323292641933775,0.0019196950836236535,0.0478410314004197,0.9858789670454801,False,0.01971426998596208,1,0,0,1,0,0,0,0,0
Misty May-Treanor,7,Maksim Chmerkoskiy,Athlete,31,0,,7.0,0.0,7.0,7.0,Withdrew,10,,,,,,False,,0,0,1,0,0,0,0,0,0
Kim Kardashian,7,Mark Ballas,TV Personality,27,0,2.0,5.916666666666667,0.3535533905932738,6.166666666666667,5.666666666666667,Eliminated Week 2,11,0.013250906299836747,0.01050637128494553,0.0010383110141255485,0.033755464157899956,0.9896028648769568,False,0.013250906299836747,1,0,0,1,0,0,0,0,0
Ted McGinley,7,Inna Brayer,Actor/Actress,50,0,1.0,6.166666666666667,,6.166666666666667,6.166666666666667,Eliminated Week 1,12,0.00800131590087368,0.006574273030467476,0.0006005763850702731,0.021189322841674983,0.9934686657441836,False,0.00800131590087368,1,1,0,0,0,0,0,0,0
Jeffrey Ross,7,Edyta Sliwinska,Comedian,43,0,1.0,4.0,,4.0,4.0,Eliminated Week 1,13,0.01679202880387676,0.011665599425098273,0.0014126153030187775,0.03766952870652594,0.9884689175635433,False,0.01679202880387676,1,0,0,0,0,0,1,0,0
Shawn Johnson,8,Mark Ballas,Athlete,17,0,11.0,8.818181818181817,0.6726999721460174,10.0,7.666666666666667,1st Place,1,0.277755126693477,0.10629509803018329,0.08872878231455071,0.43592264065248554,0.9039179526154935,True,0.33240778416555716,3,0,1,0,0,0,0,0,0
Gilles Marini,8,Cheryl Burke,Actor/Actress,33,1,11.0,9.227272727272728,0.597553936536868,10.0,8.0,2nd Place,2,0.2748329668005729,0.10580606364728012,0.08799957537041242,0.43788575557668113,0.9043177035055315,True,0.13646577231189314,3,1,0,0,0,0,0,0,0
Melissa Rycroft,8,Tony Dovolani,TV Personality,26,0,11.0,8.893939393939394,0.7351217861035272,9.666666666666666,7.666666666666667,3rd Place,3,0.6147852842033846,0.14392347962134158,0.41340287271556553,0.8820232714137033,0.8741843469556349,True,0.27944972515989625,3,0,0,1,0,0,0,0,0
Ty Murray,8,Chelsie Hightower,Athlete,39,0,10.0,7.2666666666666675,1.215130943510428,8.666666666666666,4.666666666666667,Eliminated Week 10,4,0.07494439177531848,0.05519784907187659,0.005024978210419554,0.18418759426475328,0.947689573931157,False,0.07494439177531848,1,0,1,0,0,0,0,0,0
Lil' Kim,8,Derek Hough,Singer/Rapper,34,0,9.0,8.518518518518519,0.7657804862272346,9.333333333333334,7.0,Eliminated Week 9,5,0.040197049597692734,0.033159095146700256,0.0023475030802140753,0.10769174823320915,0.9679051413257975,False,0.040197049597692734,1,0,0,0,1,0,0,0,0
Chuck Wicks,8,Julianne Hough,Singer/Rapper,29,0,8.0,7.645833333333334,0.8088670304913367,9.0,6.666666666666667,Eliminated Week 8,6,0.02980065020094226,0.024202029754207825,0.001901294024206802,0.07788467333961262,0.9763698674176462,False,0.02980065020094226,1,0,0,0,1,0,0,0,0
Lawrence Taylor,8,Edyta Sliwinska,Athlete,50,0,7.0,6.571428571428571,0.6299407883487121,7.333333333333333,5.333333333333333,Eliminated Week 7,7,0.030611673283971002,0.022305758910620886,0.0028445986981071635,0.07188763023715385,0.9781809319607179,False,0.030611673283971002,1,0,1,0,0,0,0,0,0
Steve-O,8,Lacey Schwimmer,TV Personality,34,1,6.0,5.277777777777778,0.4906533814626581,6.0,4.666666666666667,Eliminated Week 6,8,0.030257545041582398,0.02161073041541949,0.0027646228615094363,0.07016805755098482,0.9788464140283337,False,0.030257545041582398,1,0,0,1,0,0,0,0,0
David Alan Grier,8,Kym Johnson,Actor/Actress,52,0,5.0,6.933333333333333,0.9249624617007738,8.0,5.666666666666667,Eliminated Week 5,9,0.015883050385792755,0.012614592533938363,0.0010131132949318204,0.0397425408610991,0.9875425530829337,False,0.015883050385792755,1,1,0,0,0,0,0,0,0
Steve Wozniak,8,Karina Smirnoff,Entrepreneur,58,0,4.0,4.333333333333334,0.9813067629253164,5.666666666666667,3.3333333333333335,Eliminated Week 4,10,0.022282954906427246,0.015814021876754857,0.001887470048503866,0.05145176480906192,0.9844321681565905,False,0.022282954906427246,1,0,0,0,0,0,0,0,0
Holly Madison,8,Dmitry Chaplin,TV Personality,30,0,4.0,5.75,0.3191423692521128,6.0,5.333333333333333,Eliminated Week 4,11,0.016851542583773728,0.012955092467761034,0.0012688237354679078,0.04221398225134537,0.9872105954507817,False,0.016851542583773728,1,0,0,1,0,0,0,0,0
Denise Richards,8,Maksim Chmerkoskiy,Actor/Actress,38,0,3.0,6.111111111111111,0.8388704928078612,7.0,5.333333333333333,Eliminated Week 3,12,0.014511646796369149,0.01123130370332316,0.0010660973851561062,0.03608121024498976,0.9888934374735118,False,0.014511646796369149,1,1,0,0,0,0,0,0,0
Belinda Carlisle,8,Jonathan Roberts,Singer/Rapper,50,0,2.0,5.833333333333334,0.2357022603955156,6.0,5.666666666666667,Eliminated Week 2,13,0.009729934926087286,0.007790919236689837,0.0006655774474869524,0.0252082405560621,0.9922693099451713,False,0.009729934926087286,1,0,0,0,1,0,0,0,0
Donny Osmond,9,Kym Johnson,Singer/Rapper,51,0,11.0,8.822206666666668,1.0517335095034033,10.3333,7.0,1st Place,1,0.618506197710051,0.15108090412379252,0.397325830097188,0.8913635272543062,0.8687486660733061,True,0.618506197710051,1,0,0,0,1,0,0,0,0
Mya,9,Dmitry Chaplin,Singer/Rapper,29,0,11.0,9.477766666666668,0.7914101600822936,11.0,8.166666666666666,2nd Place,2,0.264425492194176,0.11208629480595539,0.06725763512859691,0.4335710701281099,0.8992107938660345,True,0.264425492194176,1,0,0,0,1,0,0,0,0
Kelly Osbourne,9,Louis van Amstel,TV Personality,24,1,11.0,8.157386666666666,1.1194708974211165,10.333266666666669,6.333333333333333,3rd Place,3,0.11706831009577381,0.08304386491890445,0.011567311679298704,0.2782610161651321,0.9233236366422494,True,0.11706831009577381,1,0,0,1,0,0,0,0,0
Joanna Krupa,9,Derek Hough,Model,30,1,9.0,9.01851111111111,1.6923809840806463,11.999966666666666,6.666666666666667,Eliminated Week 9,4,0.06086776431213033,0.04733532989123095,0.004032071649783019,0.15434289797354872,0.9548040359756156,False,0.06086776431213033,1,0,0,0,0,1,0,0,0
Aaron Carter,9,Karina Smirnoff,Singer/Rapper,21,0,8.0,8.604154166666667,1.6901424638870317,10.999933333333331,6.0,Eliminated Week 8,5,0.04436740924777449,0.03569921459612607,0.0031052089867671657,0.1167558191548638,0.9655312912349295,False,0.04436740924777449,1,0,0,0,1,0,0,0,0
