season,week,judge_lowest_idx,pct_elim_judge_lowest,rank_elim_judge_lowest,pct_favors_fan,rank_favors_fan
28,4,3,True,True,False,False
28,6,4,False,True,True,False
28,7,3,False,True,True,False
28,8,3,False,True,True,False
28,9,2,True,True,False,False
28,10,0,True,True,False,False
29,2,3,False,False,True,True
29,3,11,True,True,False,False
29,4,0,True,True,False,False
29,5,0,True,True,False,False
29,6,1,False,False,True,True
29,7,8,True,True,False,False
29,8,6,False,True,True,False
29,9,5,False,False,True,True
30,2,0,True,True,False,False
30,3,6,False,True,True,False
30,5,3,False,True,True,False
30,6,8,True,True,False,False
30,7,1,True,True,False,False
31,1,13,False,False,True,True
31,2,0,False,False,True,True
31,3,11,False,False,True,True
31,4,5,True,True,False,False
31,5,9,False,False,True,True
31,6,7,False,False,True,True
31,7,6,False,False,True,True
32,1,6,True,True,False,False
32,2,10,False,False,True,True
32,3,5,True,True,False,False
32,4,1,False,False,True,True
32,5,6,False,False,True,True
32,6,5,False,True,True,False
32,7,5,False,False,True,True
32,8,4,False,False,True,True
32,9,3,True,True,False,False
33,4,1,False,False,True,True
33,5,1,False,False,True,True
33,6,4,False,False,True,True
33,7,1,True,True,False,False
34,3,3,False,False,True,True
34,4,3,False,False,True,True
34,6,3,False,True,True,False
34,7,3,False,False,True,True
34,8,3,False,False,True,True
34,9,2,True,True,False,False
34,10,5,False,False,True,True
